"清单编号","角色","状态","原因分类","参数名称","所属节点","DAZ分组","类型","默认可见","内部ID","源文件","完整禁用原因或观察结果","别名目标","未解析依赖","输入样本","有效值样本","最大顶点位移_米","条目唯一ID"
"G8-0011","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","08 EJ Midori Expression","head","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","别名","是","08 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/alias_head_08 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value","Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/EmmaAndJordi/EJ%20Midori%20Expressions/08%20EJ%20Midori%20Expression.dsf#08%20EJ%20Midori%20Expression?value","","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/alias_head_08 ej midori expression.dsf#08 EJ Midori Expression"
"G8-0012","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","09 EJ Midori Expression","Genesis8Female","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","控制器","是","09 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/09 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value","","[{""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/DAZ%203D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/09 ej midori expression.dsf#09 EJ Midori Expression"
"G8-0013","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","09 EJ Midori Expression","head","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","别名","是","09 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/alias_head_09 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value","Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/EmmaAndJordi/EJ%20Midori%20Expressions/09%20EJ%20Midori%20Expression.dsf#09%20EJ%20Midori%20Expression?value","","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/alias_head_09 ej midori expression.dsf#09 EJ Midori Expression"
"G8-0014","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","10 EJ Midori Expression","Genesis8Female","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","控制器","是","10 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/10 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value","","[{""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/DAZ%203D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/10 ej midori expression.dsf#10 EJ Midori Expression"
"G8-0015","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","10 EJ Midori Expression","head","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","别名","是","10 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/alias_head_10 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value","Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/EmmaAndJordi/EJ%20Midori%20Expressions/10%20EJ%20Midori%20Expression.dsf#10%20EJ%20Midori%20Expression?value","","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/alias_head_10 ej midori expression.dsf#10 EJ Midori Expression"
"G8-0016","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","Amber Smile 01","Genesis8Female","/Pose Controls/Head/Expressions/Amber (3DU)","控制器","是","ctrl3duCayleySmile01","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/3D Universe/G8FAmber/ctrl3duAmberSmile01.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLPleased_HD.dsf#eCTRLPleased?value","","[{""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/DAZ%203D/Expressions/eCTRLPleased_HD.dsf#eCTRLPleased?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/3d universe/g8famber/ctrl3duambersmile01.dsf#ctrl3duCayleySmile01"
"G8-0017","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","Amber Smile 01","head","/Pose Controls/Head/Expressions/Amber (3DU)","别名","是","ctrl3duAmberSmile01","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/3D Universe/G8FAmber/alias_head_ctrl3duAmberSmile01.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLPleased_HD.dsf#eCTRLPleased?value","Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/3D%20Universe/G8FAmber/ctrl3duAmberSmile01.dsf#ctrl3duCayleySmile01?value","","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/3d universe/g8famber/alias_head_ctrl3duambersmile01.dsf#ctrl3duAmberSmile01"
"G8-0018","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","AutoLife_Age000s","geometry","/Hidden/D.Master/Auto Life","稀疏形态","否","AutoLife_Age000s","H:/G1/data/DAZ 3D/Genesis 8/Female/Morphs/D.Master/AutoLife/AutoLife_Age000s.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/D.Master/Auto Face Enhancer Female/G8Female Detail Links/AFE Skin Bumps Master.dsf#AFE Skin Bumps Master?value","","[{""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/D.Master/Auto%20Face%20Enhancer%20Female/G8Female%20Detail%20Links/AFE%20Skin%20Bumps%20Master.dsf#AFE%20Skin%20Bumps%20Master?value""}, {""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/D.Master/Auto%20Face%20Enhancer%20Female/G8Female%20Real%20Expressions%20HD/AFE%20%21Master%20Controller.dsf#AFE%20%21Master%20Controller?value""}]","","","","h:/g1/data/daz 3d/genesis 8/female/morphs/d.master/autolife/autolife_age000s.dsf#AutoLife_Age000s"
"G8-0019","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","AutoLife_Age000s Shape Null","geometry","/Hidden/D.Master/Auto Life","稀疏形态","否","AutoLife_Age000s Shape Null","H:/G1/data/DAZ 3D/Genesis 8/Female/Morphs/D.Master/AutoLife/AutoLife_Age000s Shape Null.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/3D Universe/G8FLondon/CTRLG8F3duLondonAge.dsf#CTRLG8F3duLondonAge?value","","[{""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/3D%20Universe/G8FLondon/CTRLG8F3duLondonAge.dsf#CTRLG8F3duLondonAge?value""}, {""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/3D%20Universe/G8FTG4/int3duG8FTG4Age.dsf#int3duG8FTG4Age?value""}]","","","","h:/g1/data/daz 3d/genesis 8/female/morphs/d.master/autolife/autolife_age000s shape null.dsf#AutoLife_Age000s Shape Null"
"G8-0020","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","BendfixAbdoLowbackUpfrontSH1","geometry","/Hidden/Correctives/Aging Morphs","稀疏形态","否","BendfixAbdoLowbackUpfrontSH1","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Aging Morphs 8/BendfixAbdoLowbackUpfrontSH1.dsf","公式引用缺失、被本代覆盖或不支持的属性：h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/abdomenlower_ctrlmd_n_xrotate_n20.dsf#CTRLMD_N_XRotate_n20?value","","[{""reason"": ""missing_or_ambiguous_channel"", ""uri"": ""abdomenLower:/data/DAZ%203D/Genesis%208/Female/Morphs/Zev0/Aging%20Morphs%208/abdomenLower_CTRLMD_N_XRotate_n20.dsf#CTRLMD_N_XRotate_n20?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/bendfixabdolowbackupfrontsh1.dsf#BendfixAbdoLowbackUpfrontSH1"
"G8-0021","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","BendfixAbdolowerbackSH1","geometry","/Hidden/Correctives/Aging Morphs","稀疏形态","否","BendfixAbdolowerbackSH1","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Aging Morphs 8/BendfixAbdolowerbackSH1.dsf","公式引用缺失、被本代覆盖或不支持的属性：h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/abdomenlower_ctrlmd_n_xrotate_n20.dsf#CTRLMD_N_XRotate_n20?value","","[{""reason"": ""missing_or_ambiguous_channel"", ""uri"": ""abdomenLower:/data/DAZ%203D/Genesis%208/Female/Morphs/Zev0/Aging%20Morphs%208/abdomenLower_CTRLMD_N_XRotate_n20.dsf#CTRLMD_N_XRotate_n20?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/bendfixabdolowerbacksh1.dsf#BendfixAbdolowerbackSH1"
"G8-0022","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","BendfixAbdolowerbackSH2","geometry","/Hidden/Correctives/Aging Morphs","稀疏形态","否","BendfixAbdolowerbackSH2","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Aging Morphs 8/BendfixAbdolowerbackSH2.dsf","公式引用缺失、被本代覆盖或不支持的属性：h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/abdomenlower_ctrlmd_n_xrotate_n20.dsf#CTRLMD_N_XRotate_n20?value","","[{""reason"": ""missing_or_ambiguous_channel"", ""uri"": ""abdomenLower:/data/DAZ%203D/Genesis%208/Female/Morphs/Zev0/Aging%20Morphs%208/abdomenLower_CTRLMD_N_XRotate_n20.dsf#CTRLMD_N_XRotate_n20?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/bendfixabdolowerbacksh2.dsf#BendfixAbdolowerbackSH2"
"G8-0023","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","BendfixAbdolowfrontUpbackSH2","geometry","/Hidden/Correctives/Aging Morphs","稀疏形态","否","BendfixAbdolowfrontUpbackSH2","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Aging Morphs 8/BendfixAbdolowfrontUpbackSH2.dsf","公式引用缺失、被本代覆盖或不支持的属性：h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/abdomenlower_ctrlmd_n_xrotate_n20.dsf#CTRLMD_N_XRotate_n20?value","","[{""reason"": ""missing_or_ambiguous_channel"", ""uri"": ""abdomenLower:/data/DAZ%203D/Genesis%208/Female/Morphs/Zev0/Aging%20Morphs%208/abdomenLower_CTRLMD_N_XRotate_n20.dsf#CTRLMD_N_XRotate_n20?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/bendfixabdolowfrontupbacksh2.dsf#BendfixAbdolowfrontUpbackSH2"
"G8-0024","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","BendfixLThigh90SH2","geometry","/Hidden/Correctives/Aging Morphs","稀疏形态","否","BendfixLThigh90SH2","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Aging Morphs 8/BendfixLThigh90SH2.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/lThigh:/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Glute Control/lThighBend_CTRLMD_N_XRotate_n90.dsf#CTRLMD_N_XRotate_n90?value","","[{""reason"": ""missing_file"", ""uri"": ""lThigh:/data/DAZ%203D/Genesis%208/Female/Morphs/Zev0/Glute%20Control/lThighBend_CTRLMD_N_XRotate_n90.dsf#CTRLMD_N_XRotate_n90?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/bendfixlthigh90sh2.dsf#BendfixLThigh90SH2"
"G8-0025","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","BendfixLthighSH1","geometry","/Hidden/Correctives/Aging Morphs","稀疏形态","否","BendfixLthighSH1","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Aging Morphs 8/BendfixLthighSH1.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/lThigh:/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Glute Control/lThighBend_CTRLMD_N_XRotate_n90.dsf#CTRLMD_N_XRotate_n90?value","","[{""reason"": ""missing_file"", ""uri"": ""lThigh:/data/DAZ%203D/Genesis%208/Female/Morphs/Zev0/Glute%20Control/lThighBend_CTRLMD_N_XRotate_n90.dsf#CTRLMD_N_XRotate_n90?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/bendfixlthighsh1.dsf#BendfixLthighSH1"
"G8-0026","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","BendfixRThigh90SH2","geometry","/Hidden/Correctives/Aging Morphs","稀疏形态","否","BendfixRThigh90SH2","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Aging Morphs 8/BendfixRThigh90SH2.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/rThigh:/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Glute Control/rThighBend_CTRLMD_N_XRotate_n90.dsf#CTRLMD_N_XRotate_n90?value","","[{""reason"": ""missing_file"", ""uri"": ""rThigh:/data/DAZ%203D/Genesis%208/Female/Morphs/Zev0/Glute%20Control/rThighBend_CTRLMD_N_XRotate_n90.dsf#CTRLMD_N_XRotate_n90?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/bendfixrthigh90sh2.dsf#BendfixRThigh90SH2"
"G8-0027","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","BendfixRthighSH1","geometry","/Hidden/Correctives/Aging Morphs","稀疏形态","否","BendfixRthighSH1","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Aging Morphs 8/BendfixRthighSH1.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/rThigh:/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Glute Control/rThighBend_CTRLMD_N_XRotate_n90.dsf#CTRLMD_N_XRotate_n90?value","","[{""reason"": ""missing_file"", ""uri"": ""rThigh:/data/DAZ%203D/Genesis%208/Female/Morphs/Zev0/Glute%20Control/rThighBend_CTRLMD_N_XRotate_n90.dsf#CTRLMD_N_XRotate_n90?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/bendfixrthighsh1.dsf#BendfixRthighSH1"
"G8-0028","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","Breast Helper Super Fixer","Genesis8Female","/Real World/Universal Breast Helper","控制器","是","PBMSYUBHGiantAll","H:/G1/data/DAZ 3D/Genesis 8/Female/Morphs/SickleYield2017/UniversalBreastHelper/PBMSYUBHGiantAll.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/SickleYield2017/UniversalBreastHelper/PBMSYUBHGiantAll_proj.dsf#PBMSYUBHGiantAll_proj?value","","[{""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/SickleYield2017/UniversalBreastHelper/PBMSYUBHGiantAll_proj.dsf#PBMSYUBHGiantAll_proj?value""}]","","","","h:/g1/data/daz 3d/genesis 8/female/morphs/sickleyield2017/universalbreasthelper/pbmsyubhgiantall.dsf#PBMSYUBHGiantAll"
