模板,编号,名称,X,Y,左上,左下,左左,左右,右上,右下,右左,右右,结果,备注
Body,B13,下胸部,240,220,下胸部屈伸值减小（后伸）,下胸部屈伸值增加（前屈）,下胸部扭转值减小（向角色右转）,下胸部扭转值增加（向角色左转）,下胸部屈伸值减小（后伸）,下胸部屈伸值增加（前屈）,下胸部侧摆值增加（向角色右侧倾）,下胸部侧摆值减小（向角色左侧倾）,一致,
Body,B14,角色右前臂,105,250,角色右前臂扭转值减小〔代理待核〕,角色右前臂扭转值增加〔代理待核〕,角色右前臂屈伸值减小,角色右前臂屈伸值增加,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Body,B15,角色左前臂,375,250,角色左前臂扭转值减小〔代理待核〕,角色左前臂扭转值增加〔代理待核〕,角色左前臂屈伸值减小,角色左前臂屈伸值增加,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Body,B16,上腹部,240,255,上腹部屈伸值减小（后伸）,上腹部屈伸值增加（前屈）,上腹部扭转值减小（向角色右转）,上腹部扭转值增加（向角色左转）,上腹部屈伸值减小（后伸）,上腹部屈伸值增加（前屈）,上腹部侧摆值增加（向角色右侧倾）,上腹部侧摆值减小（向角色左侧倾）,一致,
Body,B17,躯干联动组,180,260,下腹部屈伸值减小（后伸）；上腹部屈伸值减小（后伸）；下胸部屈伸值减小（后伸）；上胸部屈伸值减小（后伸）,下腹部屈伸值增加（前屈）；上腹部屈伸值增加（前屈）；下胸部屈伸值增加（前屈）；上胸部屈伸值增加（前屈）,下腹部扭转值减小（向角色右转）；上腹部扭转值减小（向角色右转）；下胸部扭转值减小（向角色右转）；上胸部扭转值减小（向角色右转）,下腹部扭转值增加（向角色左转）；上腹部扭转值增加（向角色左转）；下胸部扭转值增加（向角色左转）；上胸部扭转值增加（向角色左转）,下腹部屈伸值减小（后伸）；上腹部屈伸值减小（后伸）；下胸部屈伸值减小（后伸）；上胸部屈伸值减小（后伸）,下腹部屈伸值增加（前屈）；上腹部屈伸值增加（前屈）；下胸部屈伸值增加（前屈）；上胸部屈伸值增加（前屈）,下腹部侧摆值增加（向角色右侧倾）；上腹部侧摆值增加（向角色右侧倾）；下胸部侧摆值增加（向角色右侧倾）；上胸部侧摆值增加（向角色右侧倾）,下腹部侧摆值减小（向角色左侧倾）；上腹部侧摆值减小（向角色左侧倾）；下胸部侧摆值减小（向角色左侧倾）；上胸部侧摆值减小（向角色左侧倾）,一致,
Body,B18,下腹部,240,285,下腹部屈伸值减小（后伸）,下腹部屈伸值增加（前屈）,下腹部扭转值减小（向角色右转）,下腹部扭转值增加（向角色左转）,下腹部屈伸值减小（后伸）,下腹部屈伸值增加（前屈）,下腹部侧摆值增加（向角色右侧倾）,下腹部侧摆值减小（向角色左侧倾）,一致,
Body,B19,角色右手腕,50,295,角色右手腕屈伸值减小,角色右手腕屈伸值增加,角色右手腕扭转值减小,角色右手腕扭转值增加,角色右手腕屈伸值减小,角色右手腕屈伸值增加,角色右手腕侧摆值减小,角色右手腕侧摆值增加,一致,
Body,B20,角色左手腕,430,295,角色左手腕屈伸值增加,角色左手腕屈伸值减小,角色左手腕扭转值减小,角色左手腕扭转值增加,角色左手腕屈伸值减小,角色左手腕屈伸值增加,角色左手腕侧摆值减小,角色左手腕侧摆值增加,一致,
Body,B21,平移髋部,164,310,髋部沿 −Z 平移,髋部沿 +Z 平移,髋部沿 −X 平移,髋部沿 +X 平移,髋部沿 +Y 平移,髋部沿 −Y 平移,髋部沿 −X 平移,髋部沿 +X 平移,一致,
Body,B22,髋部,240,320,髋部X旋转值减小,髋部X旋转值增加,髋部Y旋转值减小,髋部Y旋转值增加,髋部X旋转值减小,髋部X旋转值增加,髋部Z旋转值增加,髋部Z旋转值减小,一致,
Body,B23,骨盆,240,350,骨盆屈伸值减小,骨盆屈伸值增加,骨盆扭转值减小,骨盆扭转值增加,骨盆屈伸值减小,骨盆屈伸值增加,骨盆侧摆值增加,骨盆侧摆值减小,一致,
Body,B24,角色右大腿,195,405,角色右大腿屈伸值减小（大腿向前抬）,角色右大腿屈伸值增加（大腿向后摆）,角色右大腿扭转值减小〔代理待核〕,角色右大腿扭转值增加〔代理待核〕,角色右大腿屈伸值减小（大腿向前抬）,角色右大腿屈伸值增加（大腿向后摆）,角色右大腿侧摆值减小,角色右大腿侧摆值增加,一致,
Body,B25,角色左大腿,285,405,角色左大腿屈伸值减小（大腿向前抬）,角色左大腿屈伸值增加（大腿向后摆）,角色左大腿扭转值减小〔代理待核〕,角色左大腿扭转值增加〔代理待核〕,角色左大腿屈伸值减小（大腿向前抬）,角色左大腿屈伸值增加（大腿向后摆）,角色左大腿侧摆值减小,角色左大腿侧摆值增加,一致,
Body,B26,角色右腿部联动组,150,425,角色右大腿屈伸值减小（大腿向前抬）；角色右小腿屈伸值减小（伸膝）,角色右大腿屈伸值增加（大腿向后摆）；角色右小腿屈伸值增加（屈膝）,角色右大腿扭转值减小〔代理待核〕；角色右小腿扭转值减小,角色右大腿扭转值增加〔代理待核〕；角色右小腿扭转值增加,角色右大腿屈伸值减小（大腿向前抬）；角色右小腿屈伸值增加（屈膝）,角色右大腿屈伸值增加（大腿向后摆）；角色右小腿屈伸值减小（伸膝）,角色右大腿侧摆值减小；角色右小腿侧摆值减小,角色右大腿侧摆值增加；角色右小腿侧摆值增加,有差异,需要注意角色身上自带的角度约束（可以参考任意角色duf文件）；需要注意大腿和小腿的角度变化幅度不同，避免出现骨折的状态。
Body,B27,角色左腿部联动组,330,425,角色左大腿屈伸值减小（大腿向前抬）；角色左小腿屈伸值减小（伸膝）,角色左大腿屈伸值增加（大腿向后摆）；角色左小腿屈伸值增加（屈膝）,角色左大腿扭转值减小〔代理待核〕；角色左小腿扭转值减小,角色左大腿扭转值增加〔代理待核〕；角色左小腿扭转值增加,角色左大腿屈伸值减小（大腿向前抬）；角色左小腿屈伸值增加（屈膝）,角色左大腿屈伸值增加（大腿向后摆）；角色左小腿屈伸值减小（伸膝）,角色左大腿侧摆值减小；角色左小腿侧摆值减小,角色左大腿侧摆值增加；角色左小腿侧摆值增加,有差异,需要注意角色身上自带的角度约束（可以参考任意角色duf文件）；需要注意大腿和小腿的角度变化幅度不同，避免出现骨折的状态。
Body,B28,双腿联动组,240,455,角色右大腿屈伸值减小（大腿向前抬）；角色右小腿屈伸值减小（伸膝）；角色左大腿屈伸值减小（大腿向前抬）；角色左小腿屈伸值减小（伸膝）,角色右大腿屈伸值增加（大腿向后摆）；角色右小腿屈伸值增加（屈膝）；角色左大腿屈伸值增加（大腿向后摆）；角色左小腿屈伸值增加（屈膝）,角色右大腿扭转值增加〔代理待核〕；角色右小腿扭转值增加；角色左大腿扭转值减小〔代理待核〕；角色左小腿扭转值减小,角色右大腿扭转值减小〔代理待核〕；角色右小腿扭转值减小；角色左大腿扭转值增加〔代理待核〕；角色左小腿扭转值增加,角色右大腿屈伸值减小（大腿向前抬）；角色右小腿屈伸值增加（屈膝）；角色左大腿屈伸值减小（大腿向前抬）；角色左小腿屈伸值增加（屈膝）,角色右大腿屈伸值增加（大腿向后摆）；角色右小腿屈伸值减小（伸膝）；角色左大腿屈伸值增加（大腿向后摆）；角色左小腿屈伸值减小（伸膝）,角色右大腿侧摆值增加；角色右小腿侧摆值增加；角色左大腿侧摆值减小；角色左小腿侧摆值减小,角色右大腿侧摆值减小；角色右小腿侧摆值减小；角色左大腿侧摆值增加；角色左小腿侧摆值增加,有差异,需要注意角色身上自带的角度约束（可以参考任意角色duf文件）；需要注意大腿和小腿的角度变化幅度不同，避免出现骨折的状态。
Body,B29,角色右小腿,175,550,角色右小腿屈伸值减小（伸膝）,角色右小腿屈伸值增加（屈膝）,角色右小腿扭转值减小,角色右小腿扭转值增加,角色右小腿屈伸值减小（伸膝）,角色右小腿屈伸值增加（屈膝）,角色右小腿侧摆值减小,角色右小腿侧摆值增加,一致,
Body,B30,角色左小腿,305,550,角色左小腿屈伸值减小（伸膝）,角色左小腿屈伸值增加（屈膝）,角色左小腿扭转值减小,角色左小腿扭转值增加,角色左小腿屈伸值减小（伸膝）,角色左小腿屈伸值增加（屈膝）,角色左小腿侧摆值减小,角色左小腿侧摆值增加,一致,
Body,B31,角色右脚踝,165,655,角色右脚踝屈伸值减小,角色右脚踝屈伸值增加,角色右脚踝侧摆值减小,角色右脚踝侧摆值增加,角色右脚踝屈伸值减小,角色右脚踝屈伸值增加,角色右脚踝扭转值减小,角色右脚踝扭转值增加,一致,
Body,B32,角色左脚踝,315,655,角色左脚踝屈伸值减小,角色左脚踝屈伸值增加,角色左脚踝侧摆值减小,角色左脚踝侧摆值增加,角色左脚踝屈伸值减小,角色左脚踝屈伸值增加,角色左脚踝扭转值减小,角色左脚踝扭转值增加,一致,
Body,B33,角色右脚趾,150,680,角色右脚趾屈伸值减小,角色右脚趾屈伸值增加,角色右脚趾扭转值减小,角色右脚趾扭转值增加,角色右脚趾屈伸值减小,角色右脚趾屈伸值增加,角色右脚趾无变化〔Y轴锁定〕,角色右脚趾无变化〔Y轴锁定〕,一致,
Body,B34,角色左脚趾,330,680,角色左脚趾屈伸值减小,角色左脚趾屈伸值增加,角色左脚趾扭转值减小,角色左脚趾扭转值增加,角色左脚趾屈伸值减小,角色左脚趾屈伸值增加,角色左脚趾无变化〔Y轴锁定〕,角色左脚趾无变化〔Y轴锁定〕,一致,
Body,B35,平移角色整体,420,690,角色整体沿 −Z 平移,角色整体沿 +Z 平移,角色整体沿 −X 平移,角色整体沿 +X 平移,角色整体沿 +Y 平移,角色整体沿 −Y 平移,角色整体沿 −X 平移,角色整体沿 +X 平移,一致,
Body,B36,旋转角色整体,450,690,角色整体X旋转值减小,角色整体X旋转值增加,角色整体Y旋转值减小,角色整体Y旋转值增加,角色整体X旋转值减小,角色整体X旋转值增加,角色整体Z旋转值增加,角色整体Z旋转值减小,一致,
Hands,HT01,转到 Body,424,60,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H01,左中指末节,137,62,左中指末节屈伸值增加（伸展）,左中指末节屈伸值减小（屈曲）,左中指末节无变化〔X轴锁定〕,左中指末节无变化〔X轴锁定〕,左中指末节屈伸值减小（屈曲）,左中指末节屈伸值增加（伸展）,左中指末节无变化〔Y轴锁定〕,左中指末节无变化〔Y轴锁定〕,一致,
Hands,H02,左食指末节,193,87,左食指末节屈伸值增加（伸展）,左食指末节屈伸值减小（屈曲）,左食指末节无变化〔X轴锁定〕,左食指末节无变化〔X轴锁定〕,左食指末节屈伸值减小（屈曲）,左食指末节屈伸值增加（伸展）,左食指末节无变化〔Y轴锁定〕,左食指末节无变化〔Y轴锁定〕,一致,
Hands,H03,左无名指末节,82,91,左无名指末节屈伸值增加（伸展）,左无名指末节屈伸值减小（屈曲）,左无名指末节无变化〔X轴锁定〕,左无名指末节无变化〔X轴锁定〕,左无名指末节屈伸值减小（屈曲）,左无名指末节屈伸值增加（伸展）,左无名指末节无变化〔Y轴锁定〕,左无名指末节无变化〔Y轴锁定〕,一致,
Hands,H04,左中指中节,137,125,左中指中节屈伸值增加（伸展）,左中指中节屈伸值减小（屈曲）,左中指中节无变化〔X轴锁定〕,左中指中节无变化〔X轴锁定〕,左中指中节屈伸值减小（屈曲）,左中指中节屈伸值增加（伸展）,左中指中节无变化〔Y轴锁定〕,左中指中节无变化〔Y轴锁定〕,一致,
Hands,H05,左小指末节,35,136,左小指末节屈伸值增加（伸展）,左小指末节屈伸值减小（屈曲）,左小指末节无变化〔X轴锁定〕,左小指末节无变化〔X轴锁定〕,左小指末节屈伸值减小（屈曲）,左小指末节屈伸值增加（伸展）,左小指末节无变化〔Y轴锁定〕,左小指末节无变化〔Y轴锁定〕,一致,
Hands,H06,左无名指中节,86,141,左无名指中节屈伸值增加（伸展）,左无名指中节屈伸值减小（屈曲）,左无名指中节无变化〔X轴锁定〕,左无名指中节无变化〔X轴锁定〕,左无名指中节屈伸值减小（屈曲）,左无名指中节屈伸值增加（伸展）,左无名指中节无变化〔Y轴锁定〕,左无名指中节无变化〔Y轴锁定〕,一致,
Hands,H07,左食指中节,190,141,左食指中节屈伸值增加（伸展）,左食指中节屈伸值减小（屈曲）,左食指中节无变化〔X轴锁定〕,左食指中节无变化〔X轴锁定〕,左食指中节屈伸值减小（屈曲）,左食指中节屈伸值增加（伸展）,左食指中节无变化〔Y轴锁定〕,左食指中节无变化〔Y轴锁定〕,一致,
Hands,H08,左小指中节,43,174,左小指中节屈伸值增加（伸展）,左小指中节屈伸值减小（屈曲）,左小指中节无变化〔X轴锁定〕,左小指中节无变化〔X轴锁定〕,左小指中节屈伸值减小（屈曲）,左小指中节屈伸值增加（伸展）,左小指中节无变化〔Y轴锁定〕,左小指中节无变化〔Y轴锁定〕,一致,
Hands,H09,左中指近节,136,182,左中指近节屈伸值增加（伸展）,左中指近节屈伸值减小（屈曲）,左中指近节侧摆值增加,左中指近节侧摆值减小,左中指近节屈伸值减小（屈曲）,左中指近节屈伸值增加（伸展）,左中指近节扭转值减小,左中指近节扭转值增加,一致,
Hands,H10,左食指近节,188,187,左食指近节屈伸值增加（伸展）,左食指近节屈伸值减小（屈曲）,左食指近节侧摆值增加,左食指近节侧摆值减小,左食指近节屈伸值减小（屈曲）,左食指近节屈伸值增加（伸展）,左食指近节扭转值减小,左食指近节扭转值增加,一致,
Hands,H11,左无名指近节,91,189,左无名指近节屈伸值增加（伸展）,左无名指近节屈伸值减小（屈曲）,左无名指近节侧摆值增加,左无名指近节侧摆值减小,左无名指近节屈伸值减小（屈曲）,左无名指近节屈伸值增加（伸展）,左无名指近节扭转值减小,左无名指近节扭转值增加,一致,
Hands,H12,左小指近节,48,211,左小指近节屈伸值增加（伸展）,左小指近节屈伸值减小（屈曲）,左小指近节侧摆值增加,左小指近节侧摆值减小,左小指近节屈伸值减小（屈曲）,左小指近节屈伸值增加（伸展）,左小指近节扭转值减小,左小指近节扭转值增加,一致,
Hands,H13,左中指三节联动,138,212,左中指近节屈伸值增加（伸展）；左中指中节屈伸值增加（伸展）；左中指末节屈伸值增加（伸展）,左中指近节屈伸值减小（屈曲）；左中指中节屈伸值减小（屈曲）；左中指末节屈伸值减小（屈曲）,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H14,左食指三节联动,187,219,左食指近节屈伸值增加（伸展）；左食指中节屈伸值增加（伸展）；左食指末节屈伸值增加（伸展）,左食指近节屈伸值减小（屈曲）；左食指中节屈伸值减小（屈曲）；左食指末节屈伸值减小（屈曲）,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H15,左拇指末节,275,222,左拇指末节屈伸值增加（屈曲）,左拇指末节屈伸值减小（伸展）,左拇指末节无变化〔X轴锁定〕,左拇指末节无变化〔X轴锁定〕,左拇指末节屈伸值减小（伸展）,左拇指末节屈伸值增加（屈曲）,左拇指末节无变化〔Z轴锁定〕,左拇指末节无变化〔Z轴锁定〕,一致,
Hands,H16,左无名指三节联动,93,224,左无名指近节屈伸值增加（伸展）；左无名指中节屈伸值增加（伸展）；左无名指末节屈伸值增加（伸展）,左无名指近节屈伸值减小（屈曲）；左无名指中节屈伸值减小（屈曲）；左无名指末节屈伸值减小（屈曲）,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H17,左小指三节联动,54,242,左小指近节屈伸值增加（伸展）；左小指中节屈伸值增加（伸展）；左小指末节屈伸值增加（伸展）,左小指近节屈伸值减小（屈曲）；左小指中节屈伸值减小（屈曲）；左小指末节屈伸值减小（屈曲）,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H18,左拇指中节,252,264,左拇指中节屈伸值增加（屈曲）,左拇指中节屈伸值减小（伸展）,左拇指中节无变化〔X轴锁定〕,左拇指中节无变化〔X轴锁定〕,左拇指中节屈伸值减小（伸展）,左拇指中节屈伸值增加（屈曲）,左拇指中节无变化〔Z轴锁定〕,左拇指中节无变化〔Z轴锁定〕,一致,
Hands,H19,右中指末节,342,307,右中指末节屈伸值减小（伸展）,右中指末节屈伸值增加（屈曲）,右中指末节无变化〔X轴锁定〕,右中指末节无变化〔X轴锁定〕,右中指末节屈伸值减小（伸展）,右中指末节屈伸值增加（屈曲）,右中指末节无变化〔Y轴锁定〕,右中指末节无变化〔Y轴锁定〕,一致,
Hands,H20,左拇指近节,225,315,左拇指近节上下摆值增加,左拇指近节上下摆值减小,左拇指近节屈伸值增加（屈曲）,左拇指近节屈伸值减小（伸展）,左拇指近节上下摆值减小,左拇指近节上下摆值增加,左拇指近节扭转值减小,左拇指近节扭转值增加,一致,
Hands,H21,角色左整手联动组,136,321,左小指近节屈伸值增加（伸展）；左小指中节屈伸值增加（伸展）；左小指末节屈伸值增加（伸展）；左无名指近节屈伸值增加（伸展）；左无名指中节屈伸值增加（伸展）；左无名指末节屈伸值增加（伸展）；左中指近节屈伸值增加（伸展）；左中指中节屈伸值增加（伸展）；左中指末节屈伸值增加（伸展）；左食指近节屈伸值增加（伸展）；左食指中节屈伸值增加（伸展）；左食指末节屈伸值增加（伸展）；左拇指近节屈伸值减小（伸展）；左拇指中节屈伸值减小（伸展）；左拇指末节屈伸值减小（伸展）,左小指近节屈伸值减小（屈曲）；左小指中节屈伸值减小（屈曲）；左小指末节屈伸值减小（屈曲）；左无名指近节屈伸值减小（屈曲）；左无名指中节屈伸值减小（屈曲）；左无名指末节屈伸值减小（屈曲）；左中指近节屈伸值减小（屈曲）；左中指中节屈伸值减小（屈曲）；左中指末节屈伸值减小（屈曲）；左食指近节屈伸值减小（屈曲）；左食指中节屈伸值减小（屈曲）；左食指末节屈伸值减小（屈曲）；左拇指近节屈伸值增加（屈曲）；左拇指中节屈伸值增加（屈曲）；左拇指末节屈伸值增加（屈曲）,左小指近节侧摆值增加；左无名指近节侧摆值增加；左中指近节侧摆值减小；左食指近节侧摆值减小,左小指近节侧摆值减小；左无名指近节侧摆值减小；左中指近节侧摆值增加；左食指近节侧摆值增加,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H22,右食指末节,289,337,右食指末节屈伸值减小（伸展）,右食指末节屈伸值增加（屈曲）,右食指末节无变化〔X轴锁定〕,右食指末节无变化〔X轴锁定〕,右食指末节屈伸值减小（伸展）,右食指末节屈伸值增加（屈曲）,右食指末节无变化〔Y轴锁定〕,右食指末节无变化〔Y轴锁定〕,一致,
Hands,H23,右无名指末节,400,338,右无名指末节屈伸值减小（伸展）,右无名指末节屈伸值增加（屈曲）,右无名指末节无变化〔X轴锁定〕,右无名指末节无变化〔X轴锁定〕,右无名指末节屈伸值减小（伸展）,右无名指末节屈伸值增加（屈曲）,右无名指末节无变化〔Y轴锁定〕,右无名指末节无变化〔Y轴锁定〕,一致,
Hands,H24,左拇指三节联动,206,339,左拇指近节屈伸值增加（屈曲）；左拇指中节屈伸值增加（屈曲）；左拇指末节屈伸值增加（屈曲）,左拇指近节屈伸值减小（伸展）；左拇指中节屈伸值减小（伸展）；左拇指末节屈伸值减小（伸展）,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H25,右中指中节,344,372,右中指中节屈伸值减小（伸展）,右中指中节屈伸值增加（屈曲）,右中指中节无变化〔X轴锁定〕,右中指中节无变化〔X轴锁定〕,右中指中节屈伸值减小（伸展）,右中指中节屈伸值增加（屈曲）,右中指中节无变化〔Y轴锁定〕,右中指中节无变化〔Y轴锁定〕,一致,
Hands,H26,右食指中节,289,384,右食指中节屈伸值减小（伸展）,右食指中节屈伸值增加（屈曲）,右食指中节无变化〔X轴锁定〕,右食指中节无变化〔X轴锁定〕,右食指中节屈伸值减小（伸展）,右食指中节屈伸值增加（屈曲）,右食指中节无变化〔Y轴锁定〕,右食指中节无变化〔Y轴锁定〕,一致,
Hands,H27,右无名指中节,394,384,右无名指中节屈伸值减小（伸展）,右无名指中节屈伸值增加（屈曲）,右无名指中节无变化〔X轴锁定〕,右无名指中节无变化〔X轴锁定〕,右无名指中节屈伸值减小（伸展）,右无名指中节屈伸值增加（屈曲）,右无名指中节无变化〔Y轴锁定〕,右无名指中节无变化〔Y轴锁定〕,一致,
Hands,H28,右小指末节,444,390,右小指末节屈伸值减小（伸展）,右小指末节屈伸值增加（屈曲）,右小指末节无变化〔X轴锁定〕,右小指末节无变化〔X轴锁定〕,右小指末节屈伸值减小（伸展）,右小指末节屈伸值增加（屈曲）,右小指末节无变化〔Y轴锁定〕,右小指末节无变化〔Y轴锁定〕,一致,
Hands,H29,角色左手腕,122,416,角色左手腕屈伸值增加,角色左手腕屈伸值减小,角色左手腕扭转值减小,角色左手腕扭转值增加,角色左手腕屈伸值增加,角色左手腕屈伸值减小,角色左手腕侧摆值减小,角色左手腕侧摆值增加,一致,
Hands,H30,右中指近节,344,427,右中指近节屈伸值减小（伸展）,右中指近节屈伸值增加（屈曲）,右中指近节侧摆值减小,右中指近节侧摆值增加,右中指近节屈伸值减小（伸展）,右中指近节屈伸值增加（屈曲）,右中指近节扭转值减小,右中指近节扭转值增加,一致,
Hands,H31,右小指中节,437,428,右小指中节屈伸值减小（伸展）,右小指中节屈伸值增加（屈曲）,右小指中节无变化〔X轴锁定〕,右小指中节无变化〔X轴锁定〕,右小指中节屈伸值减小（伸展）,右小指中节屈伸值增加（屈曲）,右小指中节无变化〔Y轴锁定〕,右小指中节无变化〔Y轴锁定〕,一致,
Hands,H32,右食指近节,292,434,右食指近节屈伸值减小（伸展）,右食指近节屈伸值增加（屈曲）,右食指近节侧摆值减小,右食指近节侧摆值增加,右食指近节屈伸值减小（伸展）,右食指近节屈伸值增加（屈曲）,右食指近节扭转值减小,右食指近节扭转值增加,一致,
Hands,H33,右无名指近节,391,439,右无名指近节屈伸值减小（伸展）,右无名指近节屈伸值增加（屈曲）,右无名指近节侧摆值减小,右无名指近节侧摆值增加,右无名指近节屈伸值减小（伸展）,右无名指近节屈伸值增加（屈曲）,右无名指近节扭转值减小,右无名指近节扭转值增加,一致,
